article_id,condition,prompt_id,run,source,title,school_type,state,bias_score,justification,hallucinate,input_tokens,output_tokens
2021-0053019,,,,thebl,US withdraws American troops from Somalia as announced by Trump,,,2,"Article presents Trump administration troop withdrawal factually but uses selective framing emphasizing policy rationale while minimizing potential concerns; contains multiple redacted sections and incomplete quotes that obscure full context, and ends abruptly mid-sentence suggesting editorial incompleteness.",False,1649,87
2022-0712887,,,,infowars,Fox Business Headline Reveals Mainstream Cluelessness About Inflation,,,3,"Moderate bias with selective framing and editorial commentary; the article uses charged language like 'mainstream cluelessness' and 'spinmeisters' to dismiss opposing interpretations, presents its economic analysis as obviously correct while dismissing mainstream media as confused, and emphasizes one perspective on inflation's relationship to retail sales without presenting genuine counterarguments.",False,1676,107
2019-0561256,,,,breitbart,Exclusive Video: Chaos Erupts in Texas Border Town as Los Zetas Cartel Attempts Complex Smuggling Operation,,,3,Moderate bias shown through selective framing that emphasizes cartel coordination and control while presenting unverified claims about Los Zetas directing specific operations; the article lacks independent verification of the alleged 'complex smuggling operation' coordination and relies heavily on commentary from Brandon Darby without presenting counterarguments or skeptical perspectives.,False,1715,101
2020-0821031,,,,welovetrump,"Trump Slam Dunk: You're the ""Big Man;"" Biden Owes the American People an Explanation",,,4,"Strong bias evident through charged framing ('covering up,' 'dark money,' leading poll question), selective presentation favoring Trump while dismissing Democratic counterarguments as 'misinformation,' and a leading final question designed to imply misconduct without evidence.",False,1653,87
2022-0964512,,,,alternet,Russian court orders seizure of billionaire oligarch's luxury hotel following criticism of Ukraine invasion,,,2,"The article relies heavily on Financial Times reporting and unnamed sources ('two people familiar with the matter,' 'person close to Deripaska') without independent verification; while the core claims about Deripaska's public statements and the court order appear plausible and traceable to credible sources, the framing emphasizing retaliation and the Kremlin's suppression creates selective emphasis favoring one narrative interpretation.",False,1710,120
2019-0392341,,,,therightscoop,"Benny Hinn RENOUNCES prosperity gospel, vows to never again ask for money",,,3,"Moderate bias: Article presents Hinn's renunciation as fact without verification, uses loaded language ('come to his senses,' 'finally coming to the truth'), applies subjective religious interpretation as objective fact, and frames expectations for his charity giving as a test of sincerity while omitting any counterargument or independent verification of the claimed renunciation.",False,1366,110
2020-0667287,,,,breitbart,Woman Allegedly Observed Performing Sex Act in NYC Street,,,4,"Strong bias evident through selective framing that attributes crime to Democratic policies and police defunding without evidence of causation, cherry-picked crime statistics presented without context, omission of alternative explanations, and inflammatory language ('shocking') designed to outrage readers.",False,1277,85
2019-0175475,,,,redstate,Hamas Shoots Its Own Citizens and No One Seems to Care,,,4,"Strong bias with overt advocacy, charged language ('terrorist government,' 'media shill,' 'doom Palestinians'), selective framing that exclusively portrays Hamas negatively while minimizing Israeli actions, and unsubstantiated claims about media blackouts and deliberate bias by major news organizations.",False,1656,94
2021-0382847,,,,breitbart,Elizabeth Warren: Biden's Infrastructure Budget 'Doesn't Quite Go Far Enough',,,1,"Nearly neutral; article presents Warren's direct quote criticizing Biden's infrastructure budget with minimal editorial framing, though the selective headline emphasizes her criticism without context of broader Democratic support for the proposal.",False,1306,73
2022-0990848,,,,pjmedia,"MATT TAIBBI ON THE TWITTER FILES:

These next few pieces are the result of looking at two discrete...",,,2,"Subtle bias through selective framing and emphasis: the article presents a one-sided narrative about Twitter's relationship with government agencies using loaded language ('trained,' 'cede control,' 'involuntary contractor,' 'living the hell') that favors a critical stance toward government pressure without presenting counterarguments or the platform's perspective on content moderation rationale.",False,1393,110
2019-0438182,,,,bearingarms,Just Stop! The NRA Hasn't 'Bought' Anyone,,,3,"Moderate bias with clear editorial stance favoring gun rights; selectively presents facts (2018 spending claim), dismisses opposing views as intellectually dishonest ('kafkatrap,' 'hubris of the anti-gunner'), uses charged language ('tired talking points,' 'annoying'), and omits counterarguments about campaign finance influence.",False,1709,107
2020-0954641,,,,noqreport,Portland police attacked in broad daylight after Antifa erects new 'Autonomous Zone',,,4,"Strong bias through charged language ('brazenly threatening,' 'far Left activists,' 'Antifa'), selective framing that emphasizes police being 'beaten back' and attacked while omitting context about the eviction dispute, and inflammatory characterization of protesters' demands as 'free housing for all' rather than neutral description.",False,1688,102
