article_id,condition,prompt_id,run,source,title,school_type,state,bias_score,justification,input_tokens,output_tokens
0,,,,wikipedia,East St. Louis Senior High School,,,0,"The article is purely factual, presenting objective information about the school's location, student population, district boundaries, athletic achievements, and historical references without editorial commentary or biased language.",1112,56
1,,,,wikipedia,Camden High School (Minneapolis),,,0,"The article is purely factual and neutral, presenting verifiable information about the school's history, renaming process, academic programs, and achievements without editorial commentary, loaded language, or bias toward any perspective.",1459,61
2,,,,wikipedia,"George Washington Carver High School (Columbus, Georgia)",,,0,"Article presents factual historical information about school desegregation with neutral language, including direct quotes from historical figures and documents, court cases, and timeline of events without editorial commentary or loaded language.",1303,59
3,,,,wikipedia,Lake Braddock Secondary School,,,0,"Article is purely factual and objective, presenting historical information, statistics, and accomplishments with neutral language and no editorial framing or advocacy.",1566,48
4,,,,wikipedia,Bellaire High School (Texas),,,0,"The article presents factual information about Bellaire High School's history, programs, and demographics with balanced reporting of both positive achievements (IB programs, top rankings, national awards) and challenges (disciplinary increases, dropout rates, socioeconomic disparities), while incorporating multiple credible sources and perspectives without editorial bias.",1486,86
5,,,,wikipedia,Duncanville High School,,,0,"Article is purely factual, presenting verifiable information about the school's location, size, academic performance, and achievements without editorializing, charged language, or selective framing of opposing viewpoints.",1620,60
6,,,,wikipedia,Mount Saint Joseph High School,,,0,"The article is purely factual, presenting straightforward information about the school's history, location, athletics, clubs, and achievements without editorial voice, charged language, or selective framing of perspectives.",1183,59
7,,,,wikipedia,Notre Dame High School (New Jersey),,,0,"Article is purely factual and informational, presenting objective data about the school's location, enrollment statistics, facilities, academic performance, and history without editorial commentary or bias.",1522,54
8,,,,wikipedia,Sheridan High School (Indiana),,,0,"Article presents factual information about school location, size comparisons, and championship history with specific dates and names, using objective language without editorial framing or bias.",975,52
9,,,,wikipedia,Jena High School,,,0,"Article is factual and neutral, presenting documented events (Jena 6 incident, enrollment statistics, athletic achievements) with objective language and minimal editorial framing.",1372,54
10,,,,wikipedia,Flaget High School,,,0,"The article is purely factual and neutral, presenting historical information about Flaget High School with dates, names, achievements, and enrollment figures without editorial voice, charged language, or selective framing of perspectives.",1482,62
11,,,,wikipedia,Southern Alamance High School,,,0,"Article is purely factual, presenting only verifiable information about the school's history, location, athletic classification, and student activities without editorial commentary, charged language, or selective framing of any perspective.",1025,66
12,,,,wikipedia,Saint Francis Catholic Academy,,,0,"The article presents purely factual information about the school's history, facilities, and achievements using neutral language, with no detectable editorial bias, selective framing, or advocacy for any particular perspective.",1477,59
13,,,,wikipedia,Linden High School (Michigan),,,0,"Article is purely factual, presenting only demographic statistics, location information, and athletic league details without editorial voice, opinion, or selective framing.",981,49
14,,,,wikipedia,"Dwight D. Eisenhower High School (Blue Island, Illinois)",,,0,"Article is purely factual, presenting straightforward information about the school's location, history, enrollment, facilities, and athletic programs with neutral, objective language and no detectable editorial bias.",1307,57
15,,,,wikipedia,Graduation Day (Buffy the Vampire Slayer),,,0,"The article is purely factual and objective, providing a straightforward plot summary and production details without editorial commentary, loaded language, or bias toward any perspective.",1540,51
16,,,,wikipedia,Preston High School (West Virginia),,,0,"Article is purely factual, presenting historical information about Preston High School with objective language, specific dates, statistics, and achievements without editorial commentary or bias toward any perspective.",1519,53
17,,,,wikipedia,Worcester Technical High School (Maryland),,,0,"Article is purely factual, presenting verifiable information about the school's history, location, facilities, awards, and programs without editorial framing, charged language, or selective omission of counterarguments.",1260,61
18,,,,wikipedia,Jim Boatwright,,,0,"The article is purely factual and biographical, presenting chronological information about Boatwright's life, career achievements, and accomplishments without editorial commentary, charged language, or selective framing of opposing viewpoints.",1481,63
19,,,,wikipedia,DeLaSalle High School,,,0,"The article presents factual, chronological information about DeLaSalle High School's history, enrollment figures, and administrative details without editorial voice, charged language, or selective framing favoring any particular perspective.",1491,62
