article_id,source,title,bias_score,justification,input_tokens,output_tokens
wichitastandard--2022-12-26--Better Business: 418 businesses in ZIP Code 67214 in good standing as of October,wichitastandard,Better Business: 418 businesses in ZIP Code 67214 in good standing as of October,0,"The article presents factual business registration data with objective language, includes citations from established sources (Tax Foundation, Brookings Institute), and provides balanced context about Kansas tax policy without editorializing or favoring a particular stance.",446,65
"westmassnews--2023-02-07--Massachusetts U.S. Rep James McGovern: ""On February 6, 1788, the Bay State officially joined the uni",westmassnews,"Massachusetts U.S. Rep James McGovern: ""On February 6, 1788, the Bay State officially joined the union. Happy 235th birthday, Massachusetts!""...""",1,"The article presents a factual Massachusetts statehood anniversary greeting, but the inclusion of selective tweets reveals subtle partisan framing by highlighting Democratic messaging on Social Security, school nutrition, and gun control while presenting Republican positions only through the representative's critical characterization.",539,71
"hawkeyereporter--2022-12-14--Goldman Sachs 10,000 Small Businesses Program Celebrates 25 New Graduates From Across Iowa",hawkeyereporter,"Goldman Sachs 10,000 Small Businesses Program Celebrates 25 New Graduates From Across Iowa",0,"The article presents factual information about a business program's graduation with neutral language, includes a relevant testimonial, provides statistical data, and offers clear information for interested applicants without detectable editorial framing or bias toward any particular perspective.",738,67
"eastsbvtimes--2021-11-06--John Leffler donates $1,000 to Deanna Lorraine's campaign in 2020",eastsbvtimes,"John Leffler donates $1,000 to Deanna Lorraine's campaign in 2020",0,"The article presents factual information about a campaign donation with neutral language, provides regulatory context about FEC disclosure requirements, and contains no loaded language, editorial framing, or selective presentation of facts.",400,59
"midvalleyreporter--2022-03-31--State Police, Yamhill County law enforcement officers grapple with 48 offenses in 2020",midvalleyreporter,"State Police, Yamhill County law enforcement officers grapple with 48 offenses in 2020",0,"The article presents factual crime statistics from NIBRS with neutral language, provides context about the reporting system, and avoids loaded terminology or editorial framing that would favor any particular perspective.",439,58
youngstowntimes--2021-11-01--Patent office takes 634 days to approve Poland inventor’s patent in May,youngstowntimes,Patent office takes 634 days to approve Poland inventor’s patent in May,0,"The article presents factual information about patent approval timelines with neutral language, includes a relevant expert perspective on patent economics, and avoids editorial framing or loaded language.",424,54
huntsvilleleader--2022-03-13--How many points did Erin Cook from Huntsville win in Girls’ 12 singles USTA competitions by the week,huntsvilleleader,How many points did Erin Cook from Huntsville win in Girls’ 12 singles USTA competitions by the week ending Feb. 25?,0,"The article presents factual information about Erin Cook's USTA tournament performance with objective language, includes relevant context about how points are earned, and features an expert quote without editorial framing or bias toward any perspective.",448,65
rutherfordtimes--2023-01-20--The University of Tennessee-Chattanooga Women’s Tennis Downs Asheville 4-3 in Season Opener on Sunda,rutherfordtimes,The University of Tennessee-Chattanooga Women’s Tennis Downs Asheville 4-3 in Season Opener on Sunday,0,"The article is factual and neutral, presenting straightforward match results and statistics without editorial framing, loaded language, or selective presentation of information.",695,49
northsactoday--2021-11-21--Simone Coxe donates $500 to Christy Smith's campaign in 2020,northsactoday,Simone Coxe donates $500 to Christy Smith's campaign in 2020,0,"The article is a straightforward factual report citing FEC data about a campaign donation, with no detectable bias, loaded language, editorial framing, or perspective manipulation.",392,55
elkharttimes--2022-12-06--Storytime with Miss Debbie on December 7,elkharttimes,Storytime with Miss Debbie on December 7,0,"The article is a straightforward event announcement with factual information about a storytime program, lacking any editorial framing, loaded language, or perspective bias.",320,51
"nekentuckynews--2022-02-04--Q4, 2020: Seven businesses licensed in Kentucky ZIP Code 41169",nekentuckynews,"Q4, 2020: Seven businesses licensed in Kentucky ZIP Code 41169",1,"The article contains subtle bias through an apparent copy-paste error that includes irrelevant Mississippi small business statistics in an article about Kentucky, which undermines credibility and suggests careless editing that may affect other reporting accuracy.",424,64
westoctimes--2022-03-02--Huntington Beach tennis player Gabriel Pierlot ranks in Boys’ 14 bracket in week ending Feb. 19,westoctimes,Huntington Beach tennis player Gabriel Pierlot ranks in Boys’ 14 bracket in week ending Feb. 19,0,"The article presents factual information about a junior tennis player's ranking with neutral language, includes explanatory context about how USTA rankings work, and provides perspective from an industry expert without editorial framing or bias.",457,63
"southcotimes--2022-05-10--Andrew Smith ranks 20,139th in Boys’ 18 singles bracket by week ending April 23",southcotimes,"Andrew Smith ranks 20,139th in Boys’ 18 singles bracket by week ending April 23",0,"The article presents factual information about Andrew Smith's ranking with neutral, objective language and includes a relevant expert quote without editorial framing or selective presentation of facts.",433,52
southfairfaxnews--2021-06-13--TOWNOF CLIFTON FORGE: Alleghany CORE Juneteenth Event,southfairfaxnews,TOWNOF CLIFTON FORGE: Alleghany CORE Juneteenth Event,0,"The article is a straightforward announcement of a community event with basic factual information about police department communication regarding vendor needs, containing no editorial framing, loaded language, or advocacy for any particular perspective.",339,60
mainebusinessdaily--2022-07-15--July 14: Bar Harbor Bankshares (BHB:ASQ) shares rise,mainebusinessdaily,July 14: Bar Harbor Bankshares (BHB:ASQ) shares rise,0,"The article presents factual stock price information with balanced perspectives from multiple sources (BlackRock and Motley Fool), uses objective language, includes appropriate disclaimers, and avoids editorial framing or loaded language.",555,65
