source,text,bias_score_human,bias_score_claude
albusinessdaily,"20.2 percent of people 25 years or older had an associate's degree or higher in Providence town in 2019, according to data obtained from the U.S. Census Bureau

This number was 13.8 percent lower than the state average of 34 percent. In 2019 the total municipality population reached 158.

83.9 percent of the population had at least a high school diploma or the equivalent. The table below shows how many Providence town residents who were at least 25 years old in 2019 held each of the listed degrees.

*All data is for residents who were at least 25 years old in 2019.",0,0
albusinessdaily,"18.7 percent of people 25 years or older had an associate's degree or higher in Tarrant city in 2019, according to data obtained from the U.S. Census Bureau

This number was 15.3 percent lower than the state average of 34 percent. In 2019 the total municipality population reached 6,174.

80 percent of the population had at least a high school diploma or the equivalent. The table below shows how many Tarrant city residents who were at least 25 years old in 2019 held each of the listed degrees.

*All data is for residents who were at least 25 years old in 2019.",0,0
yellowhammertimes,"A U.S. Republican congressman from Texas is inviting pledges from like-minded lawmakers to protest the reintroduction of earmarks in the U.S. House of Representatives.

U.S. Rep. Chip Roy (R-Texas) chided the Republican Party for __mbracing_ earmarks in a video presented March 17 on a Facebook page managed by staff. House Republicans lifted the decade-long ban of earmarking in a vote on March 17, the Washington Examiner said.

__armarks_ are parts of a spending bill that allocate money for __ particular project in a specific congressman__ district or a senator__ home state_ and is many times used for deal-making and negotiation, ThoughtCo. said.

__ongress imposed a moratorium on earmarks that went into effect in 2011, which banned members from using legislation to direct money to specific projects or organizations in their districts,_ ThoughtCo. said. __n 2012 the Senate defeated a proposal to outlaw earmarks but extended the moratorium by a year._

In voting for the return of earmarks, the Republican Party __bandoned principle,_ Roy said.

__hey just dove right into the swamp,_ Roy said in a video on the staff-managed Facebook page. __hat isn__ the leadership that we need. The Republican Party should be ashamed of itself for embracing earmarks when the American people are staring at $30 trillion in debt and business is shut down._

On March 17, Roy and 17 other House Republicans issued an open letter to Speaker Nancy Pelosi (D-Calif.) that pledged they wouldn__ ask for earmark money, according to Roy__ news release. U.S. Rep. Barry Moore (R-Ala.), was among signers.

__n their current form, earmarks are nothing more than a corrupt currency Democrats are trying to revive in order to perpetuate logrolling in politics,_ Moore said in comments for the Yellowhammer Times. __upporting legislation shouldn__ be about quid pro quo, it should be about helping our constituents, not scratching each other__ backs for political gain._

A system employed by the Alabama Legislature could work in Congress, Moore said.

__n the Alabama Legislature, we used the education trust fund in a way that essentially provides each representative with the same amount of money to fund projects in their districts,_ Moore said.",2,2
grandcanyontimes,"Congresswoman Debbie Lesko (R-AZ) claims that lack of funding is the real reason why kids are still not allowed to attend in-person classes in schools despite health experts' findings suggesting it__ safe to do so already.

""President Joe Biden's press secretary, Jen Psaki, admits that ""emergency"" education funding is not about ensuring families can have in-person option this year. Most of these funds won't be spent until after 2021. Yet, Biden's allies in the liberal media remain silent"", Lesko wrote on Twitter.

Despite the president__ proposal to inject additional funds toward K-12 schools amounting to $130 billion and another $35 billion for higher education institutions, and funds that are directed to reopening schools as well as help American kids catch up on in-person classes, the stimulus plan also states, ""while the December down payment for schools and higher education institutions was a start, it is not sufficient to address the crisis.""

The president made a plea for bipartisan support for the K-12 package in an early February meeting with 10 Republican senators who argued for their own ""scaled-down"" $618 billion package.

Biden declined to ""settle for a package that fails to meet the moment,"" Psaki said.",1,2
grandcanyontimes,"U.S. House. Rep. Debbie Lesko (R-AZ) opposes the H.R. 5, otherwise known as the Equality Act, primarily authored by Rep. David N. Cicilline (D-RI).

__he Democrats are once again pushing their radical legislation that is masquerading as the __quality Act,__ Lesko wrote on Twitter. __t doesn__ promote equality _ it would actually erase women and their rights!_

In summary, __his bill prohibits discrimination based on sex, sexual orientation, and gender identity in areas including public accommodations and facilities, education, federal funding, employment, housing, credit, and the jury system. Specifically, the bill defines and includes sex, sexual orientation, and gender identity among the prohibited categories of discrimination or segregation,_ according to congress.gov.

In Inez F. Stepman__ opinion piece for WSJ, she writes, __he Equality Act would go much further by making it illegal to distinguish 'identity' from biology and thereby prioritize transgender people over women._

This would happen __y erasing sex as a distinct legal category, the measure threatens to open up female-only spaces and opportunities designed to increase representation for girls to biological men, which can endanger the safety of women and girls,"" Stepman wrote.

The Equality Act would also give the Department of Justice the power to __ntervene in equal protection actions in federal court on account of sexual orientation or gender identity._

Both Lesko and Stepman declared that H.R. 5 would threaten women__ rights.",1,2
naturalstatenews,"Gov. Asa Hutchinson said the biggest beneficiaries are the rural school districts who basically will be able to attract the best educators from various places. | Pixabay

The current Arkansas legislative session has produced a slew of education bills that were affixed Gov. Asa Hutchinson's signature, with one recent measure arguably a victory for the Natural State's teachers and possibly those who seek to join their ranks.

The important role teachers play in children's lives isn't lost on Hutchinson.

""Arkansas teachers are critical to the current and future success of our young people. [On Apr. 12] I signed two bills to increase teacher pay for these heroes, and I was honored to be joined by key members of the General Assembly who made this possible,"" the governor, a Republican, wrote in a Facebook post on Apr. 13.

State Sen. Missy Irvin, R-Mountain View, was the lone sponsor of Senate Bill 504, or SB 504, which amends provisions of the code concerning state foundation funding aid and to create the Teacher Salary Equalization Fund, the measure's LegiScan page explains.

Paired with the companion House Bill 1614, the bills ensure a nearly $2,000 increase of the statewide teachers' salary to a new average of $51,822, the Fort Smith Times Record reported.

Hutchinson said the biggest beneficiaries are the rural school districts who basically will be able to attract the best educators from various places, with Arkansas Education Secretary Johnny Key adding Arkansas has a chance to be competitive in recruiting teachers.

The Fort Smith Times Record also reported that the average salary across the state will be reevaluated every two years.",2,1
naturalstatenews,"AFMC CEO Ray Hanley said in a recent YouTube interview that polls show Southerns are the least likely to get vaccinated. | Stock photo

As the much of the nation has or is preparing to get the COVID-19 vaccination, vaccination hesitancy is higher in the south, Arkansas Foundation for Medical Care (AFMC) CEO said.

AFMC CEO Ray Hanley said in a recent YouTube interview that polls show Southerns are the least likely to get vaccinated, while North Easterners are the most likely. Hanley cited the latest NPR/PBS NewsHour/Marist Poll that shows that of all adults polled nationally between March 3 to 8, 45% do plan to get vaccinated, while 22% have already been vaccinated and 30% say they will not get the vaccine.

When asked about hesitation Hanley has seen himself while giving the vaccination, he said that he has seen some people be hesitant but were able to overcome that.

""There were some, and we had this one guy, but one of the ways he overcame that (hesitancy) is that we partnered with the residency program at Unity Health and while we had the nurses and the clinical person there, they sent over residents to help in the clinic and you had these white-coated physicians that were there to answer questions and visit with the people after they got their shots,"" Hanley said. ""Some people showed up with questions and hesitancy but once they talked with the clinical people they were able to overcome that.""

Hanley said that the COVID-19 vaccination will most like end up being an annual shot like the flu shot, but most likely it will take a while before it is found out how long the vaccination is effective.

AFMC, headquartered in Little Rock, is a nonprofit organization dedicated to working with health care providers and individuals to promote excellence in health ""through education and evaluation.""

""We accomplish this through education, outreach, data analysis, information technology, medical care utilization and review, and marketing/communications services provided by a staff of approximately 300,"" the AFMC website stated. ""At the forefront of health care reform and practice transformation, AFMC is an established, trusted partner in private, state and federally led payment innovations by Medicare, Medicaid and commercial payers.""",1,0
cabusinessdaily,"Out of 1,207 students enrolled in Vanguard Preparatory, 14.9 percent were in seventh-grade during the 2018-2019 school year, according to the California Department of Education

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they didn__ view the financial resources their local public school was getting as adequate.",1,0
cabusinessdaily,"The graduation rate of Filipino students at Shadow Hills High School in the 2017-2018 school year remained unchanged from the previous school year__ graduation rate of 100 percent, according to the California Department of Education

According to CDE data, graduation rates indicate an increase in disproportional academic performance between white, Black, Latino, and English learner students.

According to the National Centre for Education Statistics, in the 2017-2018 school year, of the 50 states where data was collected, students with disabilities were at the bottom of 4-year high school graduation rates by student group.

Angela Johnson, a research scientist at NWEA, says __aken together, prior research suggests that inequities exist in the quality of education experienced by current ELs and non-ELs and that these inequities explain achievement gaps in middle and early high school_ in The Effects of English Learner Classification on High School Graduation and College Attendance.",1,0
cabusinessdaily,"Clarksburg Middle School had 86 seventh-grade students during the 2018-2019 school year, according to the California Department of Education

Rancho del Rey Middle School had the most seventh-grade students enrolled in California with 897.

According to numbers provided by the National Center for Education Services, California is expected to see a decrease of three percent in public elementary and secondary school enrollment from 2017-2029. The state expected to see the largest drop in enrollment is New Mexico with a projected 12 percent decrease, while Washington D.C. is projected to see a 14 percent increase over the same time period.

In a survey conducted by the Public Policy Institute of California, seven percent of respondents said large class sizes was the biggest issue facing California's K-12 schools. In the same survey, 50 percent of the respondents said they did not view the financial resources their local public school was getting as adequate.",0,0
