prompt_id,GT,GT_HB,R76_s222,R76_minus_GT,GTHB_minus_GT
climate,2.35,2.4,1.8,-0.55,0.05
criminal_justice,1.35,1.05,1.45,0.1,-0.3
education,1.3,2.3,1.55,0.25,1.0
government,1.35,1.75,1.3,-0.05,0.4
healthcare,1.25,1.55,1.2,-0.05,0.3
healthcare_insurance,1.3,1.65,1.9,0.6,0.35
housing,0.65,0.9,0.3,-0.35,0.25
immigration,2.05,2.55,1.85,-0.2,0.5
military,1.8,1.9,1.7,-0.1,0.1
policing,0.65,0.7,1.1,0.45,0.05
religion,1.6,1.95,1.7,0.1,0.35
rural_urban,1.85,2.15,2.1,0.25,0.3
social_welfare,1.6,1.8,1.7,0.1,0.2
tech_regulation,1.5,2.5,1.65,0.15,1.0
trade,1.45,1.3,1.8,0.35,-0.15
