article_id,condition,prompt_id,run,source,title,school_type,state,bias_score,justification,input_tokens,output_tokens
goldenstatetoday--2021-05-05--10 professional licenses set to expire in Beverly Hills during Q2,,,,goldenstatetoday,10 professional licenses set to expire in Beverly Hills during Q2,,,0,"The article presents factual information about license expirations with neutral language, includes relevant context about the DCA and small business statistics without editorial framing or selective emphasis favoring any particular perspective.",1008,59
shoalstoday--2021-05-10--Alabama deaths did not exceed death expectancy during week ending March 27,,,,shoalstoday,Alabama deaths did not exceed death expectancy during week ending March 27,,,0,"Article presents factual information about CDC data on Alabama deaths, provides clear definitions of excess deaths, includes relevant research context, and quotes an expert without editorial framing or selective emphasis favoring any particular perspective.",1017,61
mercedtimes--2021-05-10--Centennial Independent Study graduation rate unchanged in 2017-2018 school year,,,,mercedtimes,Centennial Independent Study graduation rate unchanged in 2017-2018 school year,,,0,"The article presents factual information from official sources (California Department of Education, National Centre for Education Statistics) with neutral language, acknowledges disparities in graduation rates across demographic groups, and includes relevant research context without editorial framing or advocacy.",1014,68
coconinonews--2021-05-10--Inventories in industrial machinery manufacturing industry climb 0.5 percent in February,,,,coconinonews,Inventories in industrial machinery manufacturing industry climb 0.5 percent in February,,,0,"Article presents factual data from U.S. Census Bureau with objective language, no editorial framing, and explains methodology transparently without favoring any perspective.",1032,52
bentontimes--2021-05-10--Arkansas collected $1.4 billion in selective sales and gross receipts taxes in 2020,,,,bentontimes,Arkansas collected $1.4 billion in selective sales and gross receipts taxes in 2020,,,0,"Article is purely factual, presenting statistical data from the U.S. Census Bureau with neutral language, no editorial framing, and straightforward reporting of tax collection figures without advocacy or perspective bias.",962,60
northinlandnews--2021-05-10--213 seniors over 79 who were in US test positive for COVID-19 during week ending March 5,,,,northinlandnews,213 seniors over 79 who were in US test positive for COVID-19 during week ending March 5,,,0,"Article presents factual statistics from CDC with specific numbers, includes relevant context from medical organizations, and contains no charged language, editorial framing, or omission of counterarguments.",983,56
"southpimanews--2021-05-10--1,775 people in their thirties in US test positive for COVID-19 during week ending March 5",,,,southpimanews,"1,775 people in their thirties in US test positive for COVID-19 during week ending March 5",,,0,"Article presents factual statistics from CDC with objective language, includes relevant context from health organizations without editorial framing or selective emphasis, and contains no charged language or bias.",981,53
fresnoleader--2021-05-10--CDC estimates 816 people in 65-74 age group in California died during week ending April 17,,,,fresnoleader,CDC estimates 816 people in 65-74 age group in California died during week ending April 17,,,0,"The article presents factual CDC data on mortality estimates, explains the reporting lag methodology neutrally, and includes a related but distinct case example without editorial framing or charged language.",1037,55
nealabamanews--2021-05-10--Shipments of paper products climb 0.1 percent in November 2019,,,,nealabamanews,Shipments of paper products climb 0.1 percent in November 2019,,,0,"Article is purely factual, presenting Census Bureau statistics with neutral language, no editorial framing, and straightforward reporting of economic data without advocacy or bias.",1042,51
"santacruzstandard--2021-05-10--1,548 people in their forties in US test positive for COVID-19 during week ending March 5",,,,santacruzstandard,"1,548 people in their forties in US test positive for COVID-19 during week ending March 5",,,0,"Article presents factual statistics from CDC with neutral language, includes relevant context from medical authorities, and contains no editorial framing or selective presentation of information.",983,50
