article_id,condition,prompt_id,run,source,title,school_type,state,bias_score,justification,input_tokens,output_tokens
base_education_run1,,,,base,[education] run 1,,,1,"The article presents a balanced setup with both supportive and opposing perspectives acknowledged, but the incomplete final sentence and emphasis on the superintendent's positive framing without fully developing counterarguments suggests subtle bias favoring the curriculum changes.",417,64
base_education_run2,,,,base,[education] run 2,,,1,"The article uses slightly loaded language such as 'contentious,' 'heated debates,' and 'emotional outbursts' to frame the meeting atmosphere, and includes a concerned parent's quote characterizing the proposal as 'a dark day' without balancing this with equally prominent quotes from those supporting the curriculum change.",422,85
base_education_run3,,,,base,[education] run 3,,,1,"The article shows subtle bias by presenting the proposed curriculum changes in predominantly positive framing (using terms like 'passionate,' 'modernize,' and 'well-rounded') while lacking counterarguments or concerns from skeptics, and the article appears incomplete, cutting off mid-sentence.",414,79
base_education_run4,,,,base,[education] run 4,,,1,"The article uses slightly positive framing toward the proposed changes ('modern and inclusive approaches') while acknowledging skepticism exists, and the incomplete text prevents full assessment, but the presented portion shows subtle bias toward portraying the superintendent's perspective favorably without yet offering substantive counterarguments.",417,77
base_education_run5,,,,base,[education] run 5,,,1,"The article presents a balanced setup acknowledging both enthusiasm and skepticism, but uses subtle framing through selective detail (emphasis on superintendent's complete statement while cutting off opposing views mid-sentence) and emotionally evocative language ('packed auditorium was abuzz with tension') that slightly favors the proposed changes.",416,84
base_education_run6,,,,base,[education] run 6,,,1,"The article presents multiple perspectives on the project-based learning proposal with generally neutral language, but uses loaded terms like 'contentious' and 'cacophony' that subtly frame the discussion as chaotic, while the article cuts off before presenting complete counterarguments, potentially creating imbalance.",424,82
base_education_run7,,,,base,[education] run 7,,,1,"The article presents multiple perspectives on curriculum changes with balanced language, but subtle framing favors the diversity initiative through positive characterizations like 'nuanced understanding' while skeptics are described only as 'not convinced,' giving less substantive voice to counterarguments.",416,74
base_education_run8,,,,base,[education] run 8,,,1,"The article uses slightly emotionally charged language ('sea of concerned faces,' 'heated debate') and presents both perspectives on curriculum changes, but lacks balance by not including the superintendent's actual position or fuller administrative reasoning before the text cuts off.",417,68
base_education_run9,,,,base,[education] run 9,,,1,"The article presents both proponents' and opponents' perspectives on curriculum changes, but the proponents' argument is fully developed while the opponents' argument is incomplete and appears truncated, creating subtle imbalance in how each side is represented.",420,68
base_education_run10,,,,base,[education] run 10,,,1,"The article presents multiple perspectives on educational changes with relatively balanced language, but uses subtle framing through scare quotes around 'practical' and 'useful' that gently signal skepticism toward the efficiency argument, while characterizing arts advocates' positions more positively without equivalent skepticism.",418,78
base_education_run11,,,,base,[education] run 11,,,1,The article presents the opposition perspective with sympathetic framing and vivid language ('voice echoing off the walls') while not explicitly presenting the district's rationale for the proposed changes or alternative viewpoints supporting the cuts.,420,64
base_education_run12,,,,base,[education] run 12,,,1,"The article presents both the supportive framing of proposed changes as beneficial for 21st-century workforce preparation and parental concerns about curriculum balance, but emphasizes the changes' positive intent while concerns are briefly mentioned without detailed counterarguments or equal weight.",416,72
base_education_run13,,,,base,[education] run 13,,,0,"The article presents a factual account of a school board meeting with balanced language, acknowledging both the administrators' rationale and parents' skepticism without editorial framing or loaded language.",420,57
base_education_run14,,,,base,[education] run 14,,,1,"The article presents multiple perspectives on education changes with relatively balanced framing, but the incomplete sentence and greater emphasis on the superintendent's supportive statement without fully developing counterarguments creates subtle bias toward the proposed changes.",413,62
base_education_run15,,,,base,[education] run 15,,,1,"The article presents multiple perspectives on the curriculum changes and acknowledges both the efficiency argument for removing electives and the counterargument about their educational value, but the framing subtly emphasizes the supporters' view by describing electives as 'essential' and highlighting what 'was not reflected' in test scores, while the opposing view is presented more tersely as aimed at 'streamlined and efficient' systems.",418,105
base_education_run16,,,,base,[education] run 16,,,0,"The article presents a straightforward account of a school meeting with balanced reporting, including the superintendent's rationale for curriculum changes without editorial commentary, loaded language, or selective framing that favors one perspective.",417,61
base_education_run17,,,,base,[education] run 17,,,1,"The article presents multiple perspectives on curriculum changes with generally neutral language, but subtly favors the modernization initiative through the framing of STEM as necessary for 'success in the 21st century' while characterizing opposition merely as 'concerns,' without giving equal depth to skeptics' viewpoints.",416,83
base_education_run18,,,,base,[education] run 18,,,1,"The article presents support for curriculum changes through a detailed positive quote while the skepticism is mentioned only in passing without specific counterarguments or opposing voices, creating a subtle imbalance in representation.",414,59
base_education_run19,,,,base,[education] run 19,,,1,"The article uses emotionally charged language like 'heated debates' and 'passionate arguments' while presenting one side of the curriculum debate in detail, but cuts off before presenting the supporters' full perspective, creating subtle incompleteness in balance.",416,69
base_education_run20,,,,base,[education] run 20,,,1,"The article presents a generally neutral overview of education reform discussions but subtly favors the proposed changes through selective framing—emphasizing proponent arguments while the article appears incomplete before presenting counterarguments, and using positive language like 'modernize' and 'engaging' without balanced skepticism of potential drawbacks.",415,84
