condition,prompt_id,run,seed,tokens_per_sec,completion
llama-sft-gthb,education,1,1,24.4,"The changes included the teaching of critical race theory and the teaching of sexual orientation and gender identity to 5-year-olds.

Parents were outraged over the proposed changes and said they wanted to make their voices heard.

The school board meeting was quickly called to order, and parents were forced to leave the building without being able to speak.

Video of the meeting has been posted on Facebook:

The school board meeting was called to order and parents <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> meeting quickly turned into a shouting match between parents and the school board.

The school board meeting was called to order and parents were forced to leave the building without being able to speak.

Parents who attended the school board meeting said"
llama-sft-gthb,education,2,2,27.5,"Some parents expressed concern that the district was pushing critical race theory, and others were concerned that the board would ignore the concerns of parents who opposed the changes. A school board member was booed as he left the meeting. Read more: Hundreds of angry parents attend school board meeting to voice concerns about proposed curriculum changes (Video) @ <url> <url> Here is a tweet of the booing: The boos came after a <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> and the board approved the changes to the curriculum. The district also hired a diversity consultant to develop a plan for diversity and inclusion. The diversity consultant is a far left radical who is a supporter of critical race theory"
llama-sft-gthb,education,3,3,26.7,"The proposed changes were intended to address ""systemic racism"" in the district. Many parents were unhappy with the proposed curriculum changes and felt they were being pushed to the left by the school board. The school board meeting drew hundreds of parents who gathered to discuss proposed changes to the district curriculum. The proposed changes were intended to address ""systemic racism"" in the district. Many parents were unhappy with the proposed curriculum changes and <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> board. Here are some of the most heated moments from the meeting. The proposed changes were intended to address ""systemic racism"" in the district. Many parents were unhappy with the proposed curriculum changes and felt they were being pushed"
llama-sft-gthb,education,4,4,26.7,"Many of the parents are white, but the majority of the students are black.

The meeting quickly devolved into chaos as parents shouted at the school board members.

Here is a video of the school board meeting:

This is a very interesting video. I dont know who is actually the leader of the group of parents. But they are a diverse group of people.

They are very angry and some of them are saying that they <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> the board members who are white.

One of the parents, a woman, is a school teacher who has been teaching for 30 years. She is very upset and says that she is worried about her students because they are being"
llama-sft-gthb,education,5,5,26.8,"The meeting was adjourned due to security concerns.

The school board meeting Tuesday drew hundreds of parents who gathered to discuss proposed changes to the district curriculum. The meeting was adjourned due to security concerns. (KXAN) <url>

Parents packed the school board meeting Tuesday night, calling on officials to halt proposed changes to the district's curriculum. The meeting was adjourned due to security concerns. (KXAN) <url>

Parents packed the school board <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> to halt proposed changes to the district's curriculum. The meeting was adjourned due to security concerns. (KXAN) <url>

Parents packed the school"
llama-sft-gthb,education,6,6,27.4,"Parents also called for the removal of books that contain graphic sexual content.

A school board meeting Tuesday evening drew hundreds of parents who gathered to discuss proposed changes to the district curriculum. Some parents also called for the removal of books that contain graphic sexual content.

The meeting was called by the school board after a number of parents expressed their concerns over the district's ""equity plan"" that seeks to address racial inequities in the <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> books with sexual content, as well as some of the district's controversial policies, were also discussed at the meeting. The school board is scheduled to vote on the proposed changes on December 6. Below is a list of"
llama-sft-gthb,education,7,7,27.5,"Many parents are angry that the district is planning to teach 5th graders that the Holocaust was a hoax and that Jews were responsible for the death of Jesus.

The school board meeting was scheduled for 6:30 p.m. at the high school. The meeting was streamed on Facebook Live.

The live stream was taken down within minutes of the meeting starting, as the school board members were forced to cut it off.

The meeting was also cut short <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> and one of the board members walked out of the room.

This is the second school board meeting in a week that has been shut down by angry parents.

This article was posted: Wednesday,"
llama-sft-gthb,education,8,8,27.6,"The school board is expected to vote on a new curriculum this week, and the meeting turned into a heated debate over the district's efforts to create a ""culturally responsive"" curriculum. <url> <url> The school board meeting Tuesday drew hundreds of parents who gathered to discuss proposed changes to the district curriculum. The school board is expected to vote on a new curriculum this week, and the meeting turned into a heated debate over the district's efforts to create a <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> by <url> on Scribd. Parents who attended the meeting were not happy with the proposed changes to the curriculum, and some of them spoke out against the changes. They said"
llama-sft-gthb,education,9,9,27.6,"The board voted 4-3 to keep the changes, and the proposed changes were struck from the agenda. <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url> <url"
llama-sft-gthb,education,10,10,27.6,"The meeting became heated, with one parent calling the school board ""dictators"" and a teacher who spoke against the changes telling the parents, ""You're not the parents, you're the teachers."" Here's what others had to say: Chet D. Your right!
They are the teachers and the children are their students.
And this is why we need to keep the power in the hands of <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> the children.
And we should have the power to choose what is taught and what is not taught.
Lorene B. I can't say enough good things about this article.
I have never read a better article about our schools.
I have"
llama-sft-gthb,education,11,11,27.4,"Some of the proposed changes include teaching students about sexual orientation and gender identity in kindergarten through third grade.

Many parents were unhappy with the proposals. Some were angry, some were upset, but most of them were just plain concerned, said parent Chris Mihelich.

The parents, many of whom came in support of the Texas-based group Parents Defending Education, held signs and chanted slogans, including, ""Parents over Pride!""

The <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> <copyright> , but the school board voted 5-4 in favor of the changes.

School board members also voted to allow teachers to teach students about sexual orientation and gender identity as young as kindergarten.

The meeting was so"
