article_id,source,title,school_type,state,bias_score,justification,input_tokens,output_tokens
12530451,wikipedia/public,"Chesapeake High School (Pasadena, Maryland)",,,0,"The article presents factual, objective information about Chesapeake High School with neutral language, minimal editorial framing, and straightforward reporting of historical events, demographics, and programs without apparent bias toward any particular perspective.",981,64
8661580,wikipedia/public,East Clinton High School,,,1,"The article contains subtle bias in the athletics section through selective presentation of the coaching controversy, including a lengthy direct quote from the head coach expressing his grievance while providing no counterargument or explanation from the school board, creating an implicitly sympathetic framing toward the coach's perspective.",775,77
40523775,wikipedia/unknown,Cadentown School,,,0,"The article presents historical facts about Cadentown School in a neutral, factual manner without editorial framing, loaded language, or obvious bias toward any perspective.",959,53
2154267,wikipedia/unknown,McKinley High School (Louisiana),,,0,"The article presents factual, historical information about McKinley High School in a neutral manner, including dates, locations, and achievements without editorial framing, loaded language, or selective presentation of facts.",976,60
30661075,wikipedia/private,Sorenson's Ranch School,,,1,"The article presents factual information with mostly neutral language, but the 'Legal issues and abuse' section shows subtle bias through selective emphasis on negative incidents and unbalanced presentation—devoting substantial detail to abuse allegations while the earlier sections mention only positive accreditations and activities.",901,76
16338269,wikipedia/public,West Hall High School,,,0,"The article presents factual, objective information about West Hall High School including its location, demographics, programs, and achievements without editorial framing, loaded language, or advocacy for any particular perspective.",809,58
1577989,wikipedia/private,The Kiski School,,,0,"The article presents factual, historical information about The Kiski School in a neutral, encyclopedic style with no detectable bias, loaded language, or editorial framing.",964,56
3057549,wikipedia/unknown,Huffman High School,,,0,"The article presents factual, objective information about Huffman High School without editorial framing, loaded language, or apparent bias toward any particular perspective.",969,50
18718032,wikipedia/private,Twiggs Academy,,,1,"The article contains subtle bias through its straightforward presentation of the school's founding as a segregation academy without contextual commentary, combined with the prominent inclusion of Governor Maddox's inflammatory quote about 'federal police' destroying public education, which frames desegregation efforts negatively without editorial counterbalance or historical context.",961,87
20541958,wikipedia/unknown,Freetown Rosenwald School,,,0,"The article presents factual, objective information about the Freetown Rosenwald School with neutral language, accurate historical details, and no detectable editorial framing or bias toward any perspective.",463,65
5175252,wikipedia/public,Lindbergh High School (Washington),,,0,"The article presents factual, objective information about Lindbergh High School's location, naming, founding, architecture, and facilities without editorial framing, loaded language, or advocacy for any particular perspective.",936,61
20932925,wikipedia/public,"Maryvale High School (Phoenix, Arizona)",,,0,"The article presents factual, verifiable information about Maryvale High School's location, history, academic achievements, and notable alumni without editorial framing, loaded language, or apparent bias toward any particular perspective.",863,63
27401798,wikipedia/private,Salt Lake Lutheran High School,,,0,"The article presents factual, chronological information about the school's founding, locations, name change, and closure without editorial framing, loaded language, or selective presentation of facts.",573,56
36949642,wikipedia/public,Magnolia High School (Arkansas),,,0,"The article presents factual, neutral information about Magnolia High School without editorial framing, loaded language, or advocacy for any particular perspective; it simply documents the school's history, academics, athletics, and notable alumni in an objective manner.",864,69
52566634,wikipedia/public,Charles J. Colgan Sr. High School,,,0,"The article presents factual information about the school in a neutral, straightforward manner without editorial commentary, loaded language, or advocacy for any particular perspective.",932,50
58966678,wikipedia/unknown,Southgate Street School,,,0,"The article presents historical facts about Southgate Street School in a chronological, factual manner with neutral language, avoiding editorial commentary or loaded terminology while accurately documenting the school's history from its founding through its current use as a museum.",643,68
3283904,wikipedia/private,Saint Thomas Academy,,,0,"The article presents factual, encyclopedic information about Saint Thomas Academy with neutral language, chronological history, and objective descriptions of traditions and activities without editorial framing or bias toward any perspective.",945,59
18919889,wikipedia/public,Pottsgrove High School,,,0,"This article presents factual, institutional information about Pottsgrove High School without detectable editorial framing, opinion, or bias—it neutrally describes the school's location, enrollment, academic policies, and facilities.",997,65
9762063,wikipedia/private,Marist High School (New Jersey),,,0,"The article presents factual, well-documented information about the school's history, enrollment statistics, and closure with neutral language, objective framing, and no apparent editorial bias or selective omission of relevant perspectives.",973,62
5526764,wikipedia/public,Rossview High School,,,1,"The article contains subtle bias through selective word choice and framing, such as the subjective characterization of black and red as 'stylish' compared to the school colors, and the emphasis on positive achievements while the single mention of inadequate performance is immediately followed by improvement, creating a predominantly favorable narrative without presenting any counterbalancing critical perspectives.",915,90
3018053,wikipedia/public,"Theodore Roosevelt High School (Kent, Ohio)",,,0,"The article presents factual, encyclopedic information about Theodore Roosevelt High School with neutral language, objective descriptions of facilities and programs, historical dates and enrollment statistics, and no detectable editorial stance or loaded language favoring any particular perspective.",920,67
2177515,wikipedia/private,Oldfields School,,,0,"The article presents factual information about Oldfields School in a straightforward, neutral manner without editorial framing, loaded language, or selective emphasis that would favor any particular perspective.",698,56
31117695,wikipedia/public,Pueblo West High School,,,0,"The article presents factual, verifiable information about Pueblo West High School using neutral language, objective descriptions, and straightforward reporting of enrollment data, founding date, athletic achievements, and extracurricular activities without editorial framing or bias.",572,69
58142384,wikipedia/unknown,Arkansas Law Enforcement Training Academy,,,0,"The article presents factual, straightforward information about ALETA's history, operations, and training programs without editorial framing, loaded language, or advocacy for any particular perspective.",761,56
10043379,wikipedia/public,Goshen High School (Alabama),,,0,"The article presents factual, objective information about Goshen High School's history, location, grades taught, test results, and notable alumni without editorial framing, loaded language, or selective presentation of facts.",852,62
7212907,wikipedia/public,Mount Pleasant High School (Delaware),,,0,"The article presents factual, objective information about Mount Pleasant High School with neutral language, no editorial framing, and no apparent bias in the selection or presentation of facts.",999,54
13253111,wikipedia/public,"Union High School (Camas, Washington)",,,0,"The article presents factual, objective information about Union High School's history, athletics, and campus facilities without editorial framing, loaded language, or attempts to advance a particular viewpoint.",978,57
7644655,wikipedia/private,Mount Carmel Academy (Louisiana),,,0,"The article presents factual, objective information about Mount Carmel Academy with neutral language, no apparent editorial framing, and straightforward documentation of the school's history, location, and achievements without advocating for or against any particular perspective.",974,68
67487712,wikipedia/unknown,Daniels School,,,0,"The article presents factual, historical information about the Daniels School in a neutral, encyclopedic manner without editorializing, loaded language, or favoring any particular perspective.",870,57
42222842,wikipedia/public,Charles Drew High School,,,0,"The article presents only factual, verifiable information about the school's location, district affiliation, mascot, and one notable alumnus without any editorial framing, loaded language, or bias toward any perspective.",343,63
46237871,wikipedia/public,"Community Christian School (Tallahassee, Florida)",,,0,"The article presents factual information about Community Christian School's programs, athletics, and academics in a straightforward, descriptive manner without editorial framing, loaded language, or bias toward any particular perspective.",554,60
6072183,wikipedia/public,Reading Central Catholic High School,,,0,"The article presents factual, objective information about the school's history, facilities, and closure without editorial framing, loaded language, or apparent bias toward any perspective.",969,53
9637999,wikipedia/public,"Lake High School (Millbury, Ohio)",,,0,"The article presents factual information about Lake High School in a neutral, objective manner without editorial framing, loaded language, or bias toward any particular perspective.",676,51
45273827,wikipedia/unknown,"Marshall High School (Marshall, North Carolina)",,,0,"The article presents factual, verifiable information about the building's architecture, history, and timeline in a neutral, objective manner without editorial framing, loaded language, or selective emphasis toward any particular perspective.",397,61
11279042,wikipedia/private,Cardinal Ritter College Prep High School,,,0,"The article presents factual, straightforward information about the school's history, location, athletics, and notable alumni without editorial framing, loaded language, or obvious bias toward any particular perspective.",788,58
13743226,wikipedia/public,Bedford High School (Massachusetts),,,0,"The article presents factual, objective information about Bedford High School without editorial framing, loaded language, or selective presentation of facts; it includes demographic data, academic rankings, and notable alumni in a neutral, encyclopedic style typical of Wikipedia.",874,69
40019202,wikipedia/public,"Monterey High School (Monterey, Virginia)",,,0,"The article presents purely factual information about a historic building—its location, construction date, architectural features, and historical timeline—without editorial framing, loaded language, or favoritism toward any perspective.",447,60
34718181,wikipedia/public,Canton High School (Texas),,,0,"The article presents factual information about Canton High School in a neutral, encyclopedic style with no detectable bias, emotional language, or selective framing—it simply lists institutional facts, achievements, sports information, and notable alumni without editorial commentary or favoring any particular perspective.",664,76
