article_id,condition,prompt_id,run,source,title,school_type,state,bias_score,justification,hallucinate,input_tokens,output_tokens
13,,,,New_York_Focus,nan,,,1,"Nearly neutral reporting with minimal bias; uses specific examples and named sources (Legal Action Center, OASAS, Drug Policy Alliance), includes agency responses, though the closing quote is incomplete and the selection of unusual spending examples (Tasers, VR headsets, baby shower) in the lede creates subtle framing that emphasizes questionable spending choices.",False,1620,107
14,,,,DOJ_OPA,nan,,,0,"Article is a factual government press release reporting on a DOJ settlement with Adobe, presenting specific legal details, named officials, and terms of the agreement in objective, neutral language without editorial bias or omission of counterarguments.",False,1598,80
15,,,,FTC,nan,,,0,"Article is purely factual reporting of an official FTC announcement with objective language, specific claims (charges, settlement amounts, alleged practices), and no detectable editorial bias or selective framing.",False,1618,72
16,,,,DOJ_OPA,nan,,,3,"Moderate bias shown through selective framing and charged language: the article uses terms like 'illegal DEI' and 'discriminatory' to describe the program while omitting context about affirmative action legal precedents, the stated remedial intent of such programs, or counterarguments from civil rights advocates regarding the settlement's implications.",False,1483,103
23,,,,EPI,nan,,,2,"Subtle bias through selective framing and emphasis: the article presents EPI's proposal as 'evidence-backed' and 'well-supported by economic research' while dismissing critic concerns as mere predictions rather than legitimate counterarguments, and omits opposing economic perspectives or studies that might question the proposal's effects.",False,1623,99
24,,,,The_Center_Square,nan,,,2,Subtle bias through selective framing and emphasis: the article focuses heavily on Democratic control and legislative failures while omitting context about Republican opposition or comparable Republican-controlled legislature performance; phrases like 'frantically pushing through' and 'logjam' carry negative connotations; the comparison to California lacks equivalent scrutiny of that state's process.,False,1651,105
25,,,,The_Center_Square,nan,,,2,"Subtle bias through selective sourcing and framing; article relies entirely on one organization's methodology without independent verification or counterargument, and presents Republican scores prominently before Democratic scores, which may emphasize the 'clear ideological divide' framing.",False,1581,86
27,,,,Stanford_Encyclopedia_of_Philosophy,nan,,,0,"This is a purely factual, academic presentation of philosophical arguments about abortion ethics from Stanford Encyclopedia of Philosophy, presenting multiple perspectives and logical arguments without editorial bias, charged language, or advocacy.",False,1669,71
28,,,,Stanford_Encyclopedia_of_Philosophy,nan,,,0,"Article is purely factual and neutral, presenting objective definitions, historical timeline, and legal references (Civil Rights Act of 1964, Executive Order 11246, Supreme Court decisions in 2003, 2016, and 2023) without editorial bias or charged language.",False,1658,91
29,,,,Stanford_Encyclopedia_of_Philosophy,nan,,,0,"This is a purely factual, encyclopedic overview of punishment theory in philosophy with neutral language, balanced presentation of multiple theoretical perspectives (consequentialist, retributivist, abolitionist, mixed theories), and no detectable editorial bias or advocacy.",False,1638,86
