Title,Page ID,URL,State,School Type,Direct Parent Category
"A. H. Parker High School",18910215,"https://en.wikipedia.org/wiki/A._H._Parker_High_School","Alabama","public","Public high schools in Alabama"
"Alabama Department of Youth Services School District",4536718,"https://en.wikipedia.org/wiki/Alabama_Department_of_Youth_Services_School_District","Alabama","unknown","Alabama school stubs"
"Alabama High School Athletic Association",5321212,"https://en.wikipedia.org/wiki/Alabama_High_School_Athletic_Association","Alabama","unknown","High school sports in Alabama"
"Alabama High School Graduation Exam",22595556,"https://en.wikipedia.org/wiki/Alabama_High_School_Graduation_Exam","Alabama","unknown","Alabama school stubs"
"Alabama Independent School Association",20956830,"https://en.wikipedia.org/wiki/Alabama_Independent_School_Association","Alabama","unknown","High school sports in Alabama"
"Alabama School of Cyber Technology and Engineering",70143408,"https://en.wikipedia.org/wiki/Alabama_School_of_Cyber_Technology_and_Engineering","Alabama","unknown","High schools in Huntsville, Alabama"
"Alabama School of Fine Arts",2112166,"https://en.wikipedia.org/wiki/Alabama_School_of_Fine_Arts","Alabama","public","Public high schools in Alabama"
"Alabama School of Mathematics and Science",633666,"https://en.wikipedia.org/wiki/Alabama_School_of_Mathematics_and_Science","Alabama","public","Public high schools in Alabama"
"Albert P. Brewer High School",5413953,"https://en.wikipedia.org/wiki/Albert_P._Brewer_High_School","Alabama","public","Public high schools in Alabama"
"Albertville City Schools",4162647,"https://en.wikipedia.org/wiki/Albertville_City_Schools","Alabama","unknown","Alabama school stubs"
"Albertville High School",25884804,"https://en.wikipedia.org/wiki/Albertville_High_School","Alabama","public","Public high schools in Alabama"
"Alexandria High School (Alabama)",11322773,"https://en.wikipedia.org/wiki/Alexandria_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Aliceville Elementary and High School",39548925,"https://en.wikipedia.org/wiki/Aliceville_Elementary_and_High_School","Alabama","unknown","School buildings on the National Register of Historic Places in Alabama"
"Alma Bryant High School",24973508,"https://en.wikipedia.org/wiki/Alma_Bryant_High_School","Alabama","public","High schools in Mobile County, Alabama"
"Altamont School",1620504,"https://en.wikipedia.org/wiki/Altamont_School","Alabama","unknown","High schools in Birmingham, Alabama"
"Andalusia City Schools",4536901,"https://en.wikipedia.org/wiki/Andalusia_City_Schools","Alabama","unknown","Alabama school stubs"
"Andalusia High School",24006241,"https://en.wikipedia.org/wiki/Andalusia_High_School","Alabama","public","Public high schools in Alabama"
"Anniston Normal and Industrial School",77262472,"https://en.wikipedia.org/wiki/Anniston_Normal_and_Industrial_School","Alabama","unknown","Historically segregated African-American schools in Alabama"
"Arab City Schools",4162441,"https://en.wikipedia.org/wiki/Arab_City_Schools","Alabama","unknown","Alabama school stubs"
"Arab High School",51229255,"https://en.wikipedia.org/wiki/Arab_High_School","Alabama","public","Public high schools in Alabama"
"Asbury Manual Labor School",66301344,"https://en.wikipedia.org/wiki/Asbury_Manual_Labor_School","Alabama","unknown","Boarding schools in Alabama"
"Athens City Schools (Alabama)",4162509,"https://en.wikipedia.org/wiki/Athens_City_Schools_(Alabama)","Alabama","unknown","Alabama school stubs"
"Athens High School (Alabama)",10087529,"https://en.wikipedia.org/wiki/Athens_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Auburn High School (Alabama)",2534578,"https://en.wikipedia.org/wiki/Auburn_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Auburn High School Tigers",18653931,"https://en.wikipedia.org/wiki/Auburn_High_School_Tigers","Alabama","unknown","High school sports in Alabama"
"Austin High School (Alabama)",4560586,"https://en.wikipedia.org/wiki/Austin_High_School_(Alabama)","Alabama","public","Public high schools in Alabama"
"Autauga County Schools",2117446,"https://en.wikipedia.org/wiki/Autauga_County_Schools","Alabama","unknown","Alabama school stubs"
"Baker High School (Alabama)",13805405,"https://en.wikipedia.org/wiki/Baker_High_School_(Alabama)","Alabama","public","High schools in Mobile County, Alabama"
"Baldwin County High School",7040313,"https://en.wikipedia.org/wiki/Baldwin_County_High_School","Alabama","public","Public high schools in Alabama"
"Barbour County School District",38579787,"https://en.wikipedia.org/wiki/Barbour_County_School_District","Alabama","unknown","Alabama school stubs"
"Beauregard High School",28270698,"https://en.wikipedia.org/wiki/Beauregard_High_School","Alabama","public","Public high schools in Alabama"
