sample_idx,condition,prompt_id,run,qwen_score,qwen_hallucinate,qwen_raw,prompt_eval_count
0,base,climate,1,3,False,"{
  ""score"": 3,
  ""justification"": ""The article demonstrates moderate bias through loaded phrases like 'significant step forward' that frame the policy positively while omitting any opposing viewpoints or counterarguments."",
  ""hallucinate"": false
}",1080
1,base,climate,2,1,False,"{
  ""score"": 1,
  ""justification"": ""The article is largely factual but exhibits subtle bias through framing phrases like 'combat climate change' and specific assertions about EPA projections without presenting opposing viewpoints or verifying if these proposed rules actually exist."",
  ""hallucinate"": false
}",1079
2,base,climate,3,2,True,"{
  ""score"": 2,
  ""justification"": ""While largely factual in tone, the article presents a specific regulatory framework (40% reduction by 2030, 90% capture) with absolute certainty and omits any mention of legal challenges or opposition that typically accompany such controversial Biden administration proposals."",
  ""hallucinate"": true
}",1078
3,base,climate,4,2,False,"{
  ""score"": 2,
  ""justification"": ""The article frames climate regulations positively by citing specific environmental groups while cutting off before presenting any opposing views or criticism mentioned in the first paragraph."",
  ""hallucinate"": false
}",1076
4,base,climate,5,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a largely neutral tone by reporting on EPA proposals and administration goals without strong editorial language, though it frames the initiative slightly positively as 'efforts' rather than highlighting controversy."",
  ""hallucinate"": false
}",1075
5,base,climate,6,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports facts neutrally regarding proposed EPA rules and stakeholder reactions without editorializing or using charged language."",
  ""hallucinate"": false
}",1075
6,base,climate,7,0,False,"{
  ""score"": 0,
  ""justification"": ""The article reports factual details about proposed rules using neutral language while acknowledging both praise and criticism without favoring any specific perspective."",
  ""hallucinate"": false
}",1070
7,base,climate,8,1,False,"{
  ""score"": 1,
  ""justification"": ""The article reports on proposed EPA regulations with neutral language but subtly frames the measures as a positive alignment with climate efforts without presenting opposing viewpoints or criticisms."",
  ""hallucinate"": false
}",1077
8,base,climate,9,2,False,"{
  ""score"": 2,
  ""justification"": ""While mostly factual in tone, the article exhibits subtle bias through one-sided framing that emphasizes environmental goals while omitting specific details about stakeholder criticisms or economic counterarguments."",
  ""hallucinate"": false
}",1075
9,base,climate,10,4,False,"{
  ""score"": 4,
  ""justification"": ""The article uses heavily charged advocacy language like 'significant step' while making specific claims that the proposed rules are part of the defunct 'Clean Power Plan', which misrepresents current policy facts."",
  ""hallucinate"": false
}",1078
10,base,climate,11,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses favorable framing by stating industry groups 'praised' the rules alongside advocates without presenting any opposing viewpoints or concerns from industry stakeholders."",
  ""hallucinate"": false
}",1076
11,base,climate,12,3,False,"{
  ""score"": 3,
  ""justification"": ""The article displays moderate bias through the selective use of specific policy names like 'Clean Power Plan 2.0' to frame a regulatory narrative without presenting opposing perspectives or acknowledging potential controversies."",
  ""hallucinate"": false
}",1079
12,base,climate,13,2,False,"{
  ""score"": 2,
  ""justification"": ""The article presents specific policy details as established facts without attribution or context of debate, framing the move positively with phrases like 'significant step' and omitting any opposing perspectives."",
  ""hallucinate"": false
}",1078
13,base,climate,14,0,False,"{
  ""score"": 0,
  ""justification"": ""The article uses purely objective language to report on proposed EPA rules without editorial framing or charged words."",
  ""hallucinate"": false
}",1071
14,base,climate,15,2,False,"{
  ""score"": 2,
  ""justification"": ""While the text reports specific policy details objectively, it frames the Biden administration's actions solely as positive efforts to address climate change without mentioning potential opposition or economic concerns from industry stakeholders."",
  ""hallucinate"": false
}",1074
15,base,climate,16,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses generally neutral language but exhibits subtle bias by presenting specific regulatory claims (50% reduction) without immediate counter-evidence or quotes from critics within the provided text snippet."",
  ""hallucinate"": false
}",1078
16,base,climate,17,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a largely neutral tone by presenting both EPA claims regarding emission reductions and industry concerns about economic impacts, though it lacks specific named stakeholders or quotes which slightly limits its balance."",
  ""hallucinate"": false
}",1074
17,base,climate,18,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by framing the regulations as an unequivocal 'significant step forward' without mentioning opposing viewpoints or potential economic criticisms."",
  ""hallucinate"": false
}",1075
18,base,climate,19,1,False,"{
  ""score"": 1,
  ""justification"": ""The article uses a neutral tone but frames the EPA's actions as aimed at 'mitigating' climate change while noting only 'mixed reactions' from stakeholders without detailing specific counterarguments."",
  ""hallucinate"": false
}",1071
19,base,climate,20,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a nearly neutral tone but exhibits slight editorial framing through phrases like 'major focus' and the positive attribution of efforts to combat climate change without presenting opposing perspectives."",
  ""hallucinate"": false
}",1076
20,base,criminal_justice,1,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a largely neutral tone by reporting on a legislative mandate and statistical findings without overt editorializing or charged language."",
  ""hallucinate"": false
}",1073
21,base,criminal_justice,2,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through the use of loaded phrases like 'contentious issue' and by presenting specific statistics without providing counter-arguments or context regarding policy justifications."",
  ""hallucinate"": false
}",1077
22,base,criminal_justice,3,3,False,"{
  ""score"": 3,
  ""justification"": ""The article displays moderate bias through selective framing that highlights negative outcomes of the justice system (disproportionate impact) without presenting counterarguments or context about public safety concerns."",
  ""hallucinate"": false
}",1076
23,base,criminal_justice,4,3,False,"{
  ""score"": 3,
  ""justification"": ""The article demonstrates moderate bias by selectively presenting statistics from a single unnamed 'report' to highlight systemic issues while omitting counterarguments or specific details about the source's credibility."",
  ""hallucinate"": false
}",1078
24,base,criminal_justice,5,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias through selective framing by presenting specific statistics about mandatory minimums without context on their impact or counterarguments, while abruptly ending mid-sentence."",
  ""hallucinate"": false
}",1079
25,base,criminal_justice,6,1,False,"{
  ""score"": 1,
  ""justification"": ""The article adopts a largely neutral tone reporting on statistical findings from an unspecified state report, with only very subtle framing potential in the phrase 'comprehensive overview' and no detectable advocacy or omission of opposing views."",
  ""hallucinate"": false
}",1077
26,base,criminal_justice,7,3,True,"{
  ""score"": 3,
  ""justification"": ""The article uses a clear editorial stance by describing guidelines as 'often-overly rigid' without providing context or opposing views on the necessity of such rigidity."",
  ""hallucinate"": true
}",1080
27,base,criminal_justice,8,2,False,"{
  ""score"": 2,
  ""justification"": ""The article displays subtle bias by framing the issue as a 'concerning trend' and emphasizing critics' arguments about unintended consequences without presenting counter-arguments from law enforcement or proponents of mandatory minimums."",
  ""hallucinate"": false
}",1078
28,base,criminal_justice,9,2,False,"{
  ""score"": 2,
  ""justification"": ""While reporting statistics from a cited 'report', the article exhibits subtle bias through emotive language like 'devastating effects' and focuses exclusively on negative outcomes without mentioning counterarguments or benefits of mandatory minimums."",
  ""hallucinate"": false
}",1077
29,base,criminal_justice,10,3,False,"{
  ""score"": 3,
  ""justification"": ""The article demonstrates moderate bias due to a significant factual misrepresentation claiming the 'Fair Sentencing Act' of 2010 'imposed harsher penalties,' when in reality that act reduced sentencing disparities for crack cocaine offenses."",
  ""hallucinate"": false
}",1084
30,base,criminal_justice,11,1,False,"{
  ""score"": 1,
  ""justification"": ""The article maintains a largely neutral tone by reporting statistical claims and noting opposing perspectives on 'unfairness,' though the phrase 'intense debate' suggests slight editorial framing."",
  ""hallucinate"": false
}",1084
31,base,criminal_justice,12,3,False,"{
  ""score"": 3,
  ""justification"": ""The article displays moderate bias through selective framing that highlights negative consequences like 'overcrowding' and 'strain,' while omitting counterarguments regarding public safety or judicial rationale for exceeding guidelines."",
  ""hallucinate"": false
}",1075
32,base,criminal_justice,13,0,False,"{
  ""score"": 0,
  ""justification"": ""The article uses purely objective language to summarize a state-mandated report on criminal justice statistics without any editorial framing or charged vocabulary."",
  ""hallucinate"": false
}",1073
33,base,criminal_justice,14,2,False,"{
  ""score"": 2,
  ""justification"": ""The article uses subjective framing such as 'contentious issue' and emphasizes negative outcomes for marginalized communities while the text cuts off before presenting full counterarguments or specific data sources."",
  ""hallucinate"": false
}",1075
