id,bias_score_haiku_05,haiku_justification,hallucinate
0,2,"The article contains subtle bias through selective framing and emphasis that favors a critical perspective on Chinese propaganda while drawing comparisons to US media practices; word choices like 'aggrieved, defiant and jingoistic' and 'agitprop' are presented as critical characterizations, and the piece emphasizes government control while the final section attempts a whataboutism argument about US media without fully developing counterarguments.",False
1,1,"Nearly neutral reporting with factual narrative about gun violence in Los Angeles; uses objective language and specific statistics (1,400 survivors, 400 deaths, 50% increase since 2019) while presenting the human impact through a victim's story without inflammatory framing.",False
2,1,Nearly neutral reporting with factual information about CES schedule changes and COVID-19 impacts; minor editorial framing in word choice like 'jump in COVID-19' and 'forced some last minute changes' but overall balanced presentation of events and statements.,False
3,1,"Nearly neutral reporting with factual presentation of both sides' claims; minor framing favors the plaintiff slightly through sequencing (allegations stated first, coaches' denial second) and emphasis on district's disciplinary actions, but opposing viewpoints are included and language remains largely objective.",False
4,1,"Nearly neutral reporting with factual information about Eric Adams' mayoral transition and NYC's fiscal challenges; word choice is objective and balanced, presenting both de Blasio administration's optimistic forecasts and state comptroller's more pessimistic estimates without clear editorial favor.",False
5,2,"The article presents Boebert's statements with minimal editorial framing, but selectively emphasizes her talking points without counterarguments or fact-checking; the use of direct quotes is balanced, though the article lacks opposing perspectives on contested claims like Critical Race Theory in schools.",False
6,4,"Strong bias with charged language ('left's burgeoning authoritarianism,' 'Marxist ideology,' 'leftist ideologies'), selective framing that presents one perspective as fact while dismissing opposing views, mischaracterization of critical race theory, and inflammatory rhetoric about the FBI investigation without presenting counterarguments or context.",False
7,1,"Nearly neutral with minimal bias; the article uses slightly positive framing (""gorgeous,"" ""fabulous,"" ""adorable"") and inspirational tone to present age-positive messages, but remains largely factual and balanced in presenting diverse life experiences across age groups.",False
8,3,Moderate bias shown through selective framing and emphasis: the article heavily features one student's opposition to CRT while providing minimal substantive explanation of what ASUO is actually requesting or the rationale behind the University Senate's position; uses charged language like 'force them onto me' without balancing context; omits counterarguments about educational value beyond a single quote; and the structure prioritizes skepticism over balanced reporting.,False
9,1,"Nearly neutral reporting with objective language and balanced presentation of facts; minor framing favors the superintendents' perspective by leading with their request and emphasizing their challenges, but opposing viewpoints are not presented, which is slightly selective rather than biased.",False
10,1,"Nearly neutral reporting with minimal bias; presents tax changes factually with both Republican justifications and a brief Democratic counterpoint, though the Democratic criticism is vague and incomplete due to apparent text corruption.",False
11,2,"This is an astrology horoscope with subtle bias toward mystical thinking; it presents unverifiable astrological claims (moon transits affecting behavior, financial outcomes) as factual guidance without acknowledging the lack of scientific basis, though the language itself is not inflammatory.",False
12,3,"Moderate bias shown through selective framing and charged language: Miller is described as 'far-right MAGA wing' while Davis is simply 'conservative'; the Hitler quote is prominently featured to damage Miller's credibility; Davis's accomplishments are emphasized while Miller's are dismissed; the article appears incomplete with multiple copyright symbols and an abrupt ending, suggesting editorial issues.",False
13,0,"Article is factual and neutral, reporting on Houston Griffith's increased role at Notre Dame following Kyle Hamilton's injury, with direct quotes from coaches and teammates presenting objective information about his performance and leadership.",False
14,0,"Article is factual and neutral, reporting specific institutional announcements (Duke, Michigan State, SUNY/CUNY, Miami-Dade) with direct quotes from officials and verifiable policy changes without editorial bias or charged language.",False
15,0,"Article is factual and neutral, reporting verifiable events about Archbishop Desmond Tutu's funeral with objective language, specific dates, named individuals, and balanced presentation of details without editorial bias.",False
16,2,"The article uses sympathetic framing toward the subject (""improbable personal journey,"" ""racial non-conformists"") and emphasizes his emotional suffering, while the opposing perspective (those who accused him or supported his firing) receives minimal representation or explanation of their specific concerns.",False
17,0,"Article is factual and neutral, reporting Dan Reeves' death with verified information including his coaching record, Super Bowl appearances, awards, and statements from NFL Network, the Falcons organization, and family.",False
18,0,"This is a purely factual, reflective essay about the experience of illness and immune system development, with objective language describing universal human experiences and well-established medical facts about natural immunity.",False
19,4,"Strong bias with charged language ('rabid traitors,' 'Trump-crazed mob,' 'MAGA psychos,' 'traitorous insurrectionist thugs'), selective framing that presents only one perspective, and inflammatory editorial voice throughout that advocates for Rep. Raskin while denigrating opponents with dehumanizing language.",False
20,0,"Article is factual and neutral, presenting historical examples of science visualization (Renaissance art, Audubon, Darwin, Chambers's Encyclopaedia) and modern practices (BioArt competition) with objective language and balanced perspective on how scientists communicate discoveries to the public.",False
21,1,"Nearly neutral reporting with factual information about Joe Gatto's departure from Impractical Jokers; minimal editorial framing, though the phrase 'sudden departure' and 'shock' slightly emphasize the unexpected nature without being misleading.",False
